Number of training samples for the male class: 720
Number of training samples for the female class: 1680
Number of features: 12
Data for prior 0.5 cfp: 1 cfn: 1
Lambda: 1456.3484775012444 , cost: 0.7355516637478108
Lambda: 2329.951810515372 , cost: 0.7373029772329246
Lambda: 3727.593720314938 , cost: 0.7373029772329246
Lambda: 5963.623316594637 , cost: 0.7373029772329246
Lambda: 9540.954763499964 , cost: 0.7373029772329246
Lambda: 15264.179671752365 , cost: 0.7373029772329246
Lambda: 24420.53094548655 , cost: 0.7373029772329246
Lambda: 39069.39937054621 , cost: 0.7373029772329246
Lambda: 62505.51925273976 , cost: 0.7373029772329246
Lambda: 100000.0 , cost: 0.7373029772329246
Data for prior 0.9 cfp: 1 cfn: 1
Lambda: 1e-05 , cost: 0.49331977148800465
Lambda: 1.5998587196060572e-05 , cost: 0.49331977148800465
Lambda: 2.559547922699533e-05 , cost: 0.49768658371507896
Lambda: 4.094915062380427e-05 , cost: 0.49768658371507896
Lambda: 6.55128556859551e-05 , cost: 0.49768658371507896
Lambda: 0.00010481131341546853 , cost: 0.49768658371507896
Lambda: 0.00016768329368110083 , cost: 0.49768658371507896
Lambda: 0.0002682695795279727 , cost: 0.49768658371507896
Lambda: 0.00042919342601287783 , cost: 0.49768658371507896
Lambda: 0.0006866488450042998 , cost: 0.49331977148800465
Lambda: 0.0010985411419875584 , cost: 0.49768658371507896
Lambda: 0.001757510624854793 , cost: 0.49939201125735144
Lambda: 0.002811768697974231 , cost: 0.49939201125735144
Lambda: 0.004498432668969444 , cost: 0.5020533959421531
Lambda: 0.0071968567300115215 , cost: 0.5265488417623262
Lambda: 0.011513953993264481 , cost: 0.5307091672466141
Lambda: 0.018420699693267165 , cost: 0.5542486559242576
Lambda: 0.029470517025518096 , cost: 0.555204613066787
Lambda: 0.04714866363457394 , cost: 0.5605273824363907
Lambda: 0.07543120063354623 , cost: 0.5779946313446876
Lambda: 0.1206792640639329 , cost: 0.6102677444764797
Lambda: 0.19306977288832497 , cost: 0.6408354300659994
Lambda: 0.30888435964774846 , cost: 0.6634189616011136
Lambda: 0.49417133613238384 , cost: 0.6748139707400639
Lambda: 0.7906043210907702 , cost: 0.679180782967138
Lambda: 1.2648552168552958 , cost: 0.7019708012450386
Lambda: 2.0235896477251556 , cost: 0.7230553919806668
Lambda: 3.2374575428176464 , cost: 0.7403161541461774
Lambda: 5.1794746792312125 , cost: 0.7446829663732517
Lambda: 8.286427728546842 , cost: 0.7524606336848707
Lambda: 13.257113655901108 , cost: 0.7614007448818054
Lambda: 21.209508879201927 , cost: 0.7543725479699295
Lambda: 33.9322177189533 , cost: 0.7500057357428552
Lambda: 54.286754393238596 , cost: 0.7500057357428552
Lambda: 86.85113737513521 , cost: 0.7500057357428552
Lambda: 138.9495494373139 , cost: 0.7500057357428552
Lambda: 222.29964825261956 , cost: 0.7500057357428552
Lambda: 355.64803062231283 , cost: 0.7500057357428552
Lambda: 568.9866029018305 , cost: 0.7500057357428552
Lambda: 910.2981779915227 , cost: 0.7500057357428552
Lambda: 1456.3484775012444 , cost: 0.7500057357428552
Lambda: 2329.951810515372 , cost: 0.7500057357428552
Lambda: 3727.593720314938 , cost: 0.7500057357428552
Lambda: 5963.623316594637 , cost: 0.7500057357428552
Lambda: 9540.954763499964 , cost: 0.7500057357428552
Lambda: 15264.179671752365 , cost: 0.7500057357428552
Lambda: 24420.53094548655 , cost: 0.7500057357428552
Lambda: 39069.39937054621 , cost: 0.7500057357428552
Lambda: 62505.51925273976 , cost: 0.7500057357428552
Lambda: 100000.0 , cost: 0.7500057357428552


Data for prior 0.5 cfp: 1 cfn: 1
Lambda: 1e-05 , cost: 0.1121031746031746
Lambda: 1.5998587196060572e-05 , cost: 0.1115079365079365
Lambda: 2.559547922699533e-05 , cost: 0.1121031746031746
Lambda: 4.094915062380427e-05 , cost: 0.1121031746031746
Lambda: 6.55128556859551e-05 , cost: 0.1123015873015873
Lambda: 0.00010481131341546853 , cost: 0.11269841269841269
Lambda: 0.00016768329368110083 , cost: 0.1134920634920635
Lambda: 0.0002682695795279727 , cost: 0.11388888888888889
Lambda: 0.00042919342601287783 , cost: 0.11507936507936507
